iter	RMSE	MAE
1395	7949.623472	4459.600533
1400	7949.584451	4459.538933
1405	7949.544055	4459.477333
1410	7949.504484	4459.416267
1415	7949.464638	4459.356
1420	7949.426165	4459.295733
1425	7949.385219	4459.2344
1430	7949.345922	4459.172533
1435	7949.304976	4459.1112
1440	7949.265953	4459.049867
1445	7949.22693	4458.9896
1450	7949.186533	4458.928267
1455	7949.146685	4458.8664
1460	7949.107936	4458.805067
1465	7949.066989	4458.744533
1470	7949.027415	4458.682667
1475	7948.987566	4458.6208
1480	7948.947992	4458.559467
1485	7948.908418	4458.498933
1490	7948.869393	4458.437867
1495	7948.82817	4458.3784
1500	7948.788595	4458.3168
1505	7948.748745	4458.2552
1510	7948.708895	4458.193333
1515	7948.669594	4458.131733
1520	7948.630019	4458.070133
1525	7948.589618	4458.0088
1530	7948.550317	4457.948267
1535	7948.510191	4457.886933
1540	7948.471164	4457.825333
1545	7948.430488	4457.764533
1550	7948.391461	4457.702933
1555	7948.350785	4457.642667
1560	7948.311757	4457.58
1565	7948.271905	4457.519467
1570	7948.232328	4457.4576
1575	7948.191925	4457.395733
1580	7948.153172	4457.335467
1585	7948.113044	4457.2744
1590	7948.072366	4457.213067
1595	7948.033062	4457.152533
1600	7947.992934	4457.090667
1605	7947.95308	4457.0296
1610	7947.913226	4456.9672
1615	7947.874196	4456.905333
1620	7947.834617	4456.844267
1625	7947.793388	4456.7832
1630	7947.754357	4456.721867
1635	7947.715877	4456.661333
1640	7947.676296	4456.599467
1645	7947.634792	4456.538933
1650	7947.595486	4456.477867
1655	7947.55618	4456.415733
1660	7947.516049	4456.354667
1665	7947.476193	4456.293867
1670	7947.435511	4456.232267
1675	7947.396754	4456.171467
1680	7947.357722	4456.1096
1685	7947.315941	4456.048267
1690	7947.277183	4455.987467
1695	7947.238425	4455.926133
1700	7947.198293	4455.8656
1705	7947.157335	4455.804
1710	7947.118027	4455.742133
1715	7947.078994	4455.681067
1720	7947.03941	4455.619733
1725	7946.999276	4455.5584
1730	7946.958868	4455.497067
1735	7946.920383	4455.436267
1740	7946.879699	4455.374933
1745	7946.84039	4455.3136
1750	7946.80053	4455.252267
1755	7946.76122	4455.1912
1760	7946.721085	4455.1296
1765	7946.67985	4455.069067
1770	7946.64054	4455.007733
1775	7946.602329	4454.946667
